cord_uid,title,authors,journal,publish_time,abstract,url,source_x,publish_time_parsed,publication_year,abstract_word_count,title_word_count
uid0001,COVID-19 Research Study #1,Researcher 1; Scientist 2,,2020-01-05,,https://example.com/paper/1,PubMed,2020-01-05,2020,0,4
uid0002,COVID-19 Research Study #2,Researcher 2; Scientist 3,BMJ,2020-01-12,This study examines aspect 2 of COVID-19 transmission and impact.,https://example.com/paper/2,arXiv,2020-01-12,2020,10,4
uid0003,COVID-19 Research Study #3,Researcher 3; Scientist 4,Nature,2020-01-19,This study examines aspect 3 of COVID-19 transmission and impact.,https://example.com/paper/3,bioRxiv,2020-01-19,2020,10,4
uid0004,COVID-19 Research Study #4,Researcher 4; Scientist 5,Science,2020-01-26,This study examines aspect 4 of COVID-19 transmission and impact.,https://example.com/paper/4,medRxiv,2020-01-26,2020,10,4
uid0005,COVID-19 Research Study #5,Researcher 5; Scientist 6,JAMA,2020-02-02,This study examines aspect 5 of COVID-19 transmission and impact.,https://example.com/paper/5,PubMed,2020-02-02,2020,10,4
uid0006,COVID-19 Research Study #6,Researcher 6; Scientist 7,Lancet,2020-02-09,This study examines aspect 6 of COVID-19 transmission and impact.,https://example.com/paper/6,arXiv,2020-02-09,2020,10,4
uid0007,COVID-19 Research Study #7,Researcher 7; Scientist 8,BMJ,2020-02-16,This study examines aspect 7 of COVID-19 transmission and impact.,https://example.com/paper/7,bioRxiv,2020-02-16,2020,10,4
uid0008,COVID-19 Research Study #8,Researcher 8; Scientist 9,Nature,2020-02-23,This study examines aspect 8 of COVID-19 transmission and impact.,https://example.com/paper/8,medRxiv,2020-02-23,2020,10,4
uid0009,COVID-19 Research Study #9,Researcher 9; Scientist 10,Science,2020-03-01,This study examines aspect 9 of COVID-19 transmission and impact.,https://example.com/paper/9,PubMed,2020-03-01,2020,10,4
uid0010,COVID-19 Research Study #10,Researcher 10; Scientist 11,JAMA,2020-03-08,This study examines aspect 10 of COVID-19 transmission and impact.,https://example.com/paper/10,arXiv,2020-03-08,2020,10,4
uid0011,COVID-19 Research Study #11,Researcher 11; Scientist 12,Lancet,2020-03-15,,https://example.com/paper/11,bioRxiv,2020-03-15,2020,0,4
uid0012,COVID-19 Research Study #12,Researcher 12; Scientist 13,BMJ,2020-03-22,This study examines aspect 12 of COVID-19 transmission and impact.,https://example.com/paper/12,medRxiv,2020-03-22,2020,10,4
uid0013,COVID-19 Research Study #13,Researcher 13; Scientist 14,Nature,2020-03-29,This study examines aspect 13 of COVID-19 transmission and impact.,https://example.com/paper/13,PubMed,2020-03-29,2020,10,4
uid0014,COVID-19 Research Study #14,Researcher 14; Scientist 15,Science,2020-04-05,This study examines aspect 14 of COVID-19 transmission and impact.,https://example.com/paper/14,arXiv,2020-04-05,2020,10,4
uid0015,COVID-19 Research Study #15,Researcher 15; Scientist 16,JAMA,2020-04-12,This study examines aspect 15 of COVID-19 transmission and impact.,https://example.com/paper/15,bioRxiv,2020-04-12,2020,10,4
uid0016,COVID-19 Research Study #16,Researcher 16; Scientist 17,,2020-04-19,This study examines aspect 16 of COVID-19 transmission and impact.,https://example.com/paper/16,medRxiv,2020-04-19,2020,10,4
uid0017,COVID-19 Research Study #17,Researcher 17; Scientist 18,BMJ,2020-04-26,This study examines aspect 17 of COVID-19 transmission and impact.,https://example.com/paper/17,PubMed,2020-04-26,2020,10,4
uid0018,COVID-19 Research Study #18,Researcher 18; Scientist 19,Nature,2020-05-03,This study examines aspect 18 of COVID-19 transmission and impact.,https://example.com/paper/18,arXiv,2020-05-03,2020,10,4
uid0019,COVID-19 Research Study #19,Researcher 19; Scientist 20,Science,2020-05-10,This study examines aspect 19 of COVID-19 transmission and impact.,https://example.com/paper/19,bioRxiv,2020-05-10,2020,10,4
uid0020,COVID-19 Research Study #20,Researcher 20; Scientist 21,JAMA,2020-05-17,This study examines aspect 20 of COVID-19 transmission and impact.,https://example.com/paper/20,medRxiv,2020-05-17,2020,10,4
uid0021,COVID-19 Research Study #21,Researcher 21; Scientist 22,Lancet,2020-05-24,,https://example.com/paper/21,PubMed,2020-05-24,2020,0,4
uid0022,COVID-19 Research Study #22,Researcher 22; Scientist 23,BMJ,2020-05-31,This study examines aspect 22 of COVID-19 transmission and impact.,https://example.com/paper/22,arXiv,2020-05-31,2020,10,4
uid0023,COVID-19 Research Study #23,Researcher 23; Scientist 24,Nature,2020-06-07,This study examines aspect 23 of COVID-19 transmission and impact.,https://example.com/paper/23,bioRxiv,2020-06-07,2020,10,4
uid0024,COVID-19 Research Study #24,Researcher 24; Scientist 25,Science,2020-06-14,This study examines aspect 24 of COVID-19 transmission and impact.,https://example.com/paper/24,medRxiv,2020-06-14,2020,10,4
uid0025,COVID-19 Research Study #25,Researcher 25; Scientist 26,JAMA,2020-06-21,This study examines aspect 25 of COVID-19 transmission and impact.,https://example.com/paper/25,PubMed,2020-06-21,2020,10,4
uid0026,COVID-19 Research Study #26,Researcher 26; Scientist 27,Lancet,2020-06-28,This study examines aspect 26 of COVID-19 transmission and impact.,https://example.com/paper/26,arXiv,2020-06-28,2020,10,4
uid0027,COVID-19 Research Study #27,Researcher 27; Scientist 28,BMJ,2020-07-05,This study examines aspect 27 of COVID-19 transmission and impact.,https://example.com/paper/27,bioRxiv,2020-07-05,2020,10,4
uid0028,COVID-19 Research Study #28,Researcher 28; Scientist 29,Nature,2020-07-12,This study examines aspect 28 of COVID-19 transmission and impact.,https://example.com/paper/28,medRxiv,2020-07-12,2020,10,4
uid0029,COVID-19 Research Study #29,Researcher 29; Scientist 30,Science,2020-07-19,This study examines aspect 29 of COVID-19 transmission and impact.,https://example.com/paper/29,PubMed,2020-07-19,2020,10,4
uid0030,COVID-19 Research Study #30,Researcher 30; Scientist 31,JAMA,2020-07-26,This study examines aspect 30 of COVID-19 transmission and impact.,https://example.com/paper/30,arXiv,2020-07-26,2020,10,4
uid0031,COVID-19 Research Study #31,Researcher 31; Scientist 32,,2020-08-02,,https://example.com/paper/31,bioRxiv,2020-08-02,2020,0,4
uid0032,COVID-19 Research Study #32,Researcher 32; Scientist 33,BMJ,2020-08-09,This study examines aspect 32 of COVID-19 transmission and impact.,https://example.com/paper/32,medRxiv,2020-08-09,2020,10,4
uid0033,COVID-19 Research Study #33,Researcher 33; Scientist 34,Nature,2020-08-16,This study examines aspect 33 of COVID-19 transmission and impact.,https://example.com/paper/33,PubMed,2020-08-16,2020,10,4
uid0034,COVID-19 Research Study #34,Researcher 34; Scientist 35,Science,2020-08-23,This study examines aspect 34 of COVID-19 transmission and impact.,https://example.com/paper/34,arXiv,2020-08-23,2020,10,4
uid0035,COVID-19 Research Study #35,Researcher 35; Scientist 36,JAMA,2020-08-30,This study examines aspect 35 of COVID-19 transmission and impact.,https://example.com/paper/35,bioRxiv,2020-08-30,2020,10,4
uid0036,COVID-19 Research Study #36,Researcher 36; Scientist 37,Lancet,2020-09-06,This study examines aspect 36 of COVID-19 transmission and impact.,https://example.com/paper/36,medRxiv,2020-09-06,2020,10,4
uid0037,COVID-19 Research Study #37,Researcher 37; Scientist 38,BMJ,2020-09-13,This study examines aspect 37 of COVID-19 transmission and impact.,https://example.com/paper/37,PubMed,2020-09-13,2020,10,4
uid0038,COVID-19 Research Study #38,Researcher 38; Scientist 39,Nature,2020-09-20,This study examines aspect 38 of COVID-19 transmission and impact.,https://example.com/paper/38,arXiv,2020-09-20,2020,10,4
uid0039,COVID-19 Research Study #39,Researcher 39; Scientist 40,Science,2020-09-27,This study examines aspect 39 of COVID-19 transmission and impact.,https://example.com/paper/39,bioRxiv,2020-09-27,2020,10,4
uid0040,COVID-19 Research Study #40,Researcher 40; Scientist 41,JAMA,2020-10-04,This study examines aspect 40 of COVID-19 transmission and impact.,https://example.com/paper/40,medRxiv,2020-10-04,2020,10,4
uid0041,COVID-19 Research Study #41,Researcher 41; Scientist 42,Lancet,2020-10-11,,https://example.com/paper/41,PubMed,2020-10-11,2020,0,4
uid0042,COVID-19 Research Study #42,Researcher 42; Scientist 43,BMJ,2020-10-18,This study examines aspect 42 of COVID-19 transmission and impact.,https://example.com/paper/42,arXiv,2020-10-18,2020,10,4
uid0043,COVID-19 Research Study #43,Researcher 43; Scientist 44,Nature,2020-10-25,This study examines aspect 43 of COVID-19 transmission and impact.,https://example.com/paper/43,bioRxiv,2020-10-25,2020,10,4
uid0044,COVID-19 Research Study #44,Researcher 44; Scientist 45,Science,2020-11-01,This study examines aspect 44 of COVID-19 transmission and impact.,https://example.com/paper/44,medRxiv,2020-11-01,2020,10,4
uid0045,COVID-19 Research Study #45,Researcher 45; Scientist 46,JAMA,2020-11-08,This study examines aspect 45 of COVID-19 transmission and impact.,https://example.com/paper/45,PubMed,2020-11-08,2020,10,4
uid0046,COVID-19 Research Study #46,Researcher 46; Scientist 47,,2020-11-15,This study examines aspect 46 of COVID-19 transmission and impact.,https://example.com/paper/46,arXiv,2020-11-15,2020,10,4
uid0047,COVID-19 Research Study #47,Researcher 47; Scientist 48,BMJ,2020-11-22,This study examines aspect 47 of COVID-19 transmission and impact.,https://example.com/paper/47,bioRxiv,2020-11-22,2020,10,4
uid0048,COVID-19 Research Study #48,Researcher 48; Scientist 49,Nature,2020-11-29,This study examines aspect 48 of COVID-19 transmission and impact.,https://example.com/paper/48,medRxiv,2020-11-29,2020,10,4
uid0049,COVID-19 Research Study #49,Researcher 49; Scientist 50,Science,2020-12-06,This study examines aspect 49 of COVID-19 transmission and impact.,https://example.com/paper/49,PubMed,2020-12-06,2020,10,4
uid0050,COVID-19 Research Study #50,Researcher 50; Scientist 51,JAMA,2020-12-13,This study examines aspect 50 of COVID-19 transmission and impact.,https://example.com/paper/50,arXiv,2020-12-13,2020,10,4
uid0051,COVID-19 Research Study #51,Researcher 51; Scientist 52,Lancet,2020-12-20,,https://example.com/paper/51,bioRxiv,2020-12-20,2020,0,4
uid0052,COVID-19 Research Study #52,Researcher 52; Scientist 53,BMJ,2020-12-27,This study examines aspect 52 of COVID-19 transmission and impact.,https://example.com/paper/52,medRxiv,2020-12-27,2020,10,4
uid0053,COVID-19 Research Study #53,Researcher 53; Scientist 54,Nature,2021-01-03,This study examines aspect 53 of COVID-19 transmission and impact.,https://example.com/paper/53,PubMed,2021-01-03,2021,10,4
uid0054,COVID-19 Research Study #54,Researcher 54; Scientist 55,Science,2021-01-10,This study examines aspect 54 of COVID-19 transmission and impact.,https://example.com/paper/54,arXiv,2021-01-10,2021,10,4
uid0055,COVID-19 Research Study #55,Researcher 55; Scientist 56,JAMA,2021-01-17,This study examines aspect 55 of COVID-19 transmission and impact.,https://example.com/paper/55,bioRxiv,2021-01-17,2021,10,4
uid0056,COVID-19 Research Study #56,Researcher 56; Scientist 57,Lancet,2021-01-24,This study examines aspect 56 of COVID-19 transmission and impact.,https://example.com/paper/56,medRxiv,2021-01-24,2021,10,4
uid0057,COVID-19 Research Study #57,Researcher 57; Scientist 58,BMJ,2021-01-31,This study examines aspect 57 of COVID-19 transmission and impact.,https://example.com/paper/57,PubMed,2021-01-31,2021,10,4
uid0058,COVID-19 Research Study #58,Researcher 58; Scientist 59,Nature,2021-02-07,This study examines aspect 58 of COVID-19 transmission and impact.,https://example.com/paper/58,arXiv,2021-02-07,2021,10,4
uid0059,COVID-19 Research Study #59,Researcher 59; Scientist 60,Science,2021-02-14,This study examines aspect 59 of COVID-19 transmission and impact.,https://example.com/paper/59,bioRxiv,2021-02-14,2021,10,4
uid0060,COVID-19 Research Study #60,Researcher 60; Scientist 61,JAMA,2021-02-21,This study examines aspect 60 of COVID-19 transmission and impact.,https://example.com/paper/60,medRxiv,2021-02-21,2021,10,4
uid0061,COVID-19 Research Study #61,Researcher 61; Scientist 62,,2021-02-28,,https://example.com/paper/61,PubMed,2021-02-28,2021,0,4
uid0062,COVID-19 Research Study #62,Researcher 62; Scientist 63,BMJ,2021-03-07,This study examines aspect 62 of COVID-19 transmission and impact.,https://example.com/paper/62,arXiv,2021-03-07,2021,10,4
uid0063,COVID-19 Research Study #63,Researcher 63; Scientist 64,Nature,2021-03-14,This study examines aspect 63 of COVID-19 transmission and impact.,https://example.com/paper/63,bioRxiv,2021-03-14,2021,10,4
uid0064,COVID-19 Research Study #64,Researcher 64; Scientist 65,Science,2021-03-21,This study examines aspect 64 of COVID-19 transmission and impact.,https://example.com/paper/64,medRxiv,2021-03-21,2021,10,4
uid0065,COVID-19 Research Study #65,Researcher 65; Scientist 66,JAMA,2021-03-28,This study examines aspect 65 of COVID-19 transmission and impact.,https://example.com/paper/65,PubMed,2021-03-28,2021,10,4
uid0066,COVID-19 Research Study #66,Researcher 66; Scientist 67,Lancet,2021-04-04,This study examines aspect 66 of COVID-19 transmission and impact.,https://example.com/paper/66,arXiv,2021-04-04,2021,10,4
uid0067,COVID-19 Research Study #67,Researcher 67; Scientist 68,BMJ,2021-04-11,This study examines aspect 67 of COVID-19 transmission and impact.,https://example.com/paper/67,bioRxiv,2021-04-11,2021,10,4
uid0068,COVID-19 Research Study #68,Researcher 68; Scientist 69,Nature,2021-04-18,This study examines aspect 68 of COVID-19 transmission and impact.,https://example.com/paper/68,medRxiv,2021-04-18,2021,10,4
uid0069,COVID-19 Research Study #69,Researcher 69; Scientist 70,Science,2021-04-25,This study examines aspect 69 of COVID-19 transmission and impact.,https://example.com/paper/69,PubMed,2021-04-25,2021,10,4
uid0070,COVID-19 Research Study #70,Researcher 70; Scientist 71,JAMA,2021-05-02,This study examines aspect 70 of COVID-19 transmission and impact.,https://example.com/paper/70,arXiv,2021-05-02,2021,10,4
uid0071,COVID-19 Research Study #71,Researcher 71; Scientist 72,Lancet,2021-05-09,,https://example.com/paper/71,bioRxiv,2021-05-09,2021,0,4
uid0072,COVID-19 Research Study #72,Researcher 72; Scientist 73,BMJ,2021-05-16,This study examines aspect 72 of COVID-19 transmission and impact.,https://example.com/paper/72,medRxiv,2021-05-16,2021,10,4
uid0073,COVID-19 Research Study #73,Researcher 73; Scientist 74,Nature,2021-05-23,This study examines aspect 73 of COVID-19 transmission and impact.,https://example.com/paper/73,PubMed,2021-05-23,2021,10,4
uid0074,COVID-19 Research Study #74,Researcher 74; Scientist 75,Science,2021-05-30,This study examines aspect 74 of COVID-19 transmission and impact.,https://example.com/paper/74,arXiv,2021-05-30,2021,10,4
uid0075,COVID-19 Research Study #75,Researcher 75; Scientist 76,JAMA,2021-06-06,This study examines aspect 75 of COVID-19 transmission and impact.,https://example.com/paper/75,bioRxiv,2021-06-06,2021,10,4
uid0076,COVID-19 Research Study #76,Researcher 76; Scientist 77,,2021-06-13,This study examines aspect 76 of COVID-19 transmission and impact.,https://example.com/paper/76,medRxiv,2021-06-13,2021,10,4
uid0077,COVID-19 Research Study #77,Researcher 77; Scientist 78,BMJ,2021-06-20,This study examines aspect 77 of COVID-19 transmission and impact.,https://example.com/paper/77,PubMed,2021-06-20,2021,10,4
uid0078,COVID-19 Research Study #78,Researcher 78; Scientist 79,Nature,2021-06-27,This study examines aspect 78 of COVID-19 transmission and impact.,https://example.com/paper/78,arXiv,2021-06-27,2021,10,4
uid0079,COVID-19 Research Study #79,Researcher 79; Scientist 80,Science,2021-07-04,This study examines aspect 79 of COVID-19 transmission and impact.,https://example.com/paper/79,bioRxiv,2021-07-04,2021,10,4
uid0080,COVID-19 Research Study #80,Researcher 80; Scientist 81,JAMA,2021-07-11,This study examines aspect 80 of COVID-19 transmission and impact.,https://example.com/paper/80,medRxiv,2021-07-11,2021,10,4
uid0081,COVID-19 Research Study #81,Researcher 81; Scientist 82,Lancet,2021-07-18,,https://example.com/paper/81,PubMed,2021-07-18,2021,0,4
uid0082,COVID-19 Research Study #82,Researcher 82; Scientist 83,BMJ,2021-07-25,This study examines aspect 82 of COVID-19 transmission and impact.,https://example.com/paper/82,arXiv,2021-07-25,2021,10,4
uid0083,COVID-19 Research Study #83,Researcher 83; Scientist 84,Nature,2021-08-01,This study examines aspect 83 of COVID-19 transmission and impact.,https://example.com/paper/83,bioRxiv,2021-08-01,2021,10,4
uid0084,COVID-19 Research Study #84,Researcher 84; Scientist 85,Science,2021-08-08,This study examines aspect 84 of COVID-19 transmission and impact.,https://example.com/paper/84,medRxiv,2021-08-08,2021,10,4
uid0085,COVID-19 Research Study #85,Researcher 85; Scientist 86,JAMA,2021-08-15,This study examines aspect 85 of COVID-19 transmission and impact.,https://example.com/paper/85,PubMed,2021-08-15,2021,10,4
uid0086,COVID-19 Research Study #86,Researcher 86; Scientist 87,Lancet,2021-08-22,This study examines aspect 86 of COVID-19 transmission and impact.,https://example.com/paper/86,arXiv,2021-08-22,2021,10,4
